File Name is: bcsstk01.mtx
rows=48, cols=48, NNZ=224
1 1 2832268.500000
5 1 1000000.000000
6 1 2083333.375000
7 1 -3333.333252
11 1 1000000.000000
19 1 -2800000.000000
25 1 -28935.185547
30 1 2083333.375000
2 2 1635447.500000
4 2 -2000000.000000
6 2 5555555.500000
8 2 -6666.666504
10 2 -2000000.000000
20 2 -30864.197266
24 2 5555555.500000
26 2 -1597916.625000
3 3 1724367.250000
4 3 -2083333.375000
5 3 -2777777.750000
9 3 -1680000.000000
21 3 -15432.098633
23 3 -2777777.750000
27 3 -28935.185547
28 3 -2083333.375000
4 4 1003333312.000000
8 4 2000000.000000
10 4 400000000.000000
22 4 -3333333.250000
27 4 2083333.375000
28 4 100000000.000000
5 5 1067500032.000000
7 5 -1000000.000000
11 5 200000000.000000
21 5 2777777.750000
23 5 333333344.000000
29 5 -833333.312500
6 6 1535333376.000000
12 6 -2000000.000000
20 6 -5555555.500000
24 6 666666688.000000
25 6 -2083333.375000
30 6 100000000.000000
7 7 2832268.500000
11 7 -1000000.000000
12 7 2083333.375000
13 7 -2800000.000000
31 7 -28935.185547
36 7 2083333.375000
8 8 1635447.500000
10 8 2000000.000000
12 8 5555555.500000
14 8 -30864.197266
18 8 5555555.500000
32 8 -1597916.625000
9 9 1724367.250000
10 9 -2083333.375000
11 9 -2777777.750000
15 9 -15432.098633
17 9 -2777777.750000
33 9 -28935.185547
34 9 -2083333.375000
10 10 1003333312.000000
16 10 -3333333.250000
33 10 2083333.375000
34 10 100000000.000000
11 11 1067500032.000000
15 11 2777777.750000
17 11 333333344.000000
35 11 -833333.312500
12 12 1535333376.000000
14 12 -5555555.500000
18 12 666666688.000000
31 12 -2083333.375000
36 12 100000000.000000
13 13 2836099.500000
17 13 -2149285.250000
18 13 2359161.750000
19 13 -3333.333252
23 13 -1000000.000000
37 13 -28935.185547
42 13 2083333.375000
43 13 -3830.950928
47 13 -1149285.250000
48 13 275828.468750
14 14 1767410.750000
15 14 517922.125000
16 14 4298570.500000
18 14 -5555555.500000
20 14 -6666.666504
22 14 2000000.000000
38 14 -1597916.625000
44 14 -131963.218750
45 14 -517922.125000
46 14 2298570.500000
15 15 3890038.000000
16 15 -2634990.250000
17 15 2777777.750000
21 15 -1680000.000000
39 15 -28935.185547
40 15 -2083333.375000
44 15 -517922.125000
45 15 -2165670.750000
46 15 -551656.937500
16 16 1975720576.000000
20 16 -2000000.000000
22 16 400000000.000000
39 16 2083333.375000
40 16 100000000.000000
44 16 -2298570.500000
45 16 551656.937500
46 16 486193664.000000
17 17 1527346560.000000
18 17 -109779728.000000
19 17 1000000.000000
23 17 200000000.000000
41 17 -833333.312500
43 17 1149285.250000
47 17 229724656.000000
48 17 -55717352.000000
18 18 1564111488.000000
24 18 -2000000.000000
37 18 -2083333.375000
42 18 100000000.000000
43 18 -275828.468750
47 18 -55717352.000000
48 18 10941196.000000
19 19 2832268.500000
23 19 1000000.000000
24 19 2083333.375000
43 19 -28935.185547
48 19 2083333.375000
20 20 1635447.500000
22 20 -2000000.000000
24 20 -5555555.500000
44 20 -1597916.625000
21 21 1724367.250000
22 21 -2083333.375000
23 21 2777777.750000
45 21 -28935.185547
46 21 -2083333.375000
22 22 1003333312.000000
45 22 2083333.375000
46 22 100000000.000000
23 23 1067500032.000000
47 23 -833333.312500
24 24 1535333376.000000
43 24 -2083333.375000
48 24 100000000.000000
25 25 60879.628906
29 25 1250000.000000
30 25 416666.656250
31 25 -4166.666504
35 25 1250000.000000
26 26 3372916.750000
28 26 -2500000.000000
32 26 -8333.333008
34 26 -2500000.000000
27 27 2411713.000000
28 27 -416666.656250
33 27 -2355000.000000
28 28 1500000000.000000
32 28 2500000.000000
34 28 500000000.000000
29 29 501833344.000000
31 29 -1250000.000000
35 29 250000000.000000
30 30 502500000.000000
36 30 -2500000.000000
31 31 3985879.750000
35 31 -1250000.000000
36 31 416666.656250
37 31 -3925000.000000
32 32 3411497.000000
34 32 2500000.000000
36 32 6944444.500000
38 32 -38580.246094
42 32 6944444.500000
33 33 2431003.000000
34 33 -416666.656250
35 33 -3472222.250000
39 33 -19290.123047
41 33 -3472222.250000
34 34 1504166656.000000
40 34 -4166666.750000
35 35 1335166720.000000
39 35 3472222.250000
41 35 416666656.000000
36 36 2169166592.000000
38 36 -6944444.500000
42 36 833333312.000000
37 37 3985879.750000
41 37 -1250000.000000
42 37 416666.656250
43 37 -4166.666504
47 37 -1250000.000000
38 38 3411497.000000
40 38 2500000.000000
42 38 -6944444.500000
44 38 -8333.333008
46 38 2500000.000000
39 39 2431003.000000
40 39 -416666.656250
41 39 3472222.250000
45 39 -2355000.000000
40 40 1504166656.000000
44 40 -2500000.000000
46 40 500000000.000000
41 41 1335166720.000000
43 41 1250000.000000
47 41 250000000.000000
42 42 2169166592.000000
48 42 -2500000.000000
43 43 64710.582031
47 43 2399285.250000
48 43 140838.203125
44 44 3504880.000000
45 44 517922.125000
46 44 -4798570.500000
45 45 4577383.500000
46 45 134990.281250
46 46 2472387328.000000
47 47 961679872.000000
48 47 -109779728.000000
48 48 531278112.000000
